Pid    Uid    Gid    Arguments                                                       
1045   33     33     /usr/sbin/apache2 -k start                                      
1047   33     33     /usr/sbin/apache2 -k start                                      
1105   113    121    /usr/bin/dbus-launch --exit-with-session                        
1107   113    121    /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
1110   113    121    /usr/bin/gnome-session --autostart=/usr/share/gdm/autostart/LoginWindow/
1123   0      0      /sbin/getty -8 38400 tty1                                       
1126   113    121    /usr/lib/libgconf2-4/gconfd-2                                   
1129   113    121    /usr/lib/gnome-settings-daemon/gnome-settings-daemon --gconf-prefix=/apps/gdm/simple-greeter/settings-manager-plugins
1131   113    121    /usr/lib/gvfs/gvfsd                                             
1133   113    121    metacity                                                        
1135   113    121    /usr/lib/gdm/gdm-simple-greeter                                 
1138   113    121    /usr/lib/xfconfd                                                
1143   0      0      /usr/lib/gdm/gdm-session-worker                                 
1144   113    121    /usr/bin/xfce4-power-manager                                    
1147   107    116    /usr/sbin/hald                                                  
1148   0      0      hald-runner                                                     
1190   0      0      hald-addon-input: Listening on                                  
1204   0      0      hald-addon-storage: polling /dev                                
1210   107    116    hald-addon-acpi: listening on                                   
1212   0      0      hald-addon-storage: no polling o                                
1267   33     33     /usr/sbin/apache2 -k start                                      
1268   0      0      [flush-8:0]                                                     
1269   33     33     /usr/sbin/apache2 -k start                                      
1270   33     33     /usr/sbin/apache2 -k start                                      
1271   33     33     /usr/sbin/apache2 -k start                                      
1274   33     33     sh -c /bin/sh                                                   
1275   33     33     /bin/sh                                                         
1441   33     33     /usr/sbin/apache2 -k start                                      
