Pid    Uid    Gid    Arguments                                                       
418    0      0      [xfs-eofblocks/d]                                               
419    0      0      [xfsaild/dm-0]                                                  
420    0      0      [kworker/0:1H]                                                  
502    0      0      /usr/lib/systemd/systemd-journald                               
519    0      0      /usr/sbin/lvmetad -f                                            
533    0      0      /usr/lib/systemd/systemd-udevd                                  
583    0      0      [xfs-buf/sda1]                                                  
588    0      0      [xfs-data/sda1]                                                 
593    0      0      [xfs-conv/sda1]                                                 
594    0      0      [xfs-cil/sda1]                                                  
596    0      0      [xfs-reclaim/sda]                                               
597    0      0      [xfs-log/sda1]                                                  
601    0      0      [xfs-eofblocks/s]                                               
602    0      0      [kworker/u257:0]                                                
604    0      0      [hci0]                                                          
605    0      0      [xfsaild/sda1]                                                  
606    0      0      [hci0]                                                          
607    0      0      [kworker/u257:1]                                                
694    0      0      /sbin/auditd                                                    
696    0      0      /sbin/audispd                                                   
698    0      0      /usr/sbin/sedispatch                                            
700    0      0      [rpciod]                                                        
701    0      0      [xprtiod]                                                       
723    0      0      /usr/sbin/smartd -n -q never                                    
725    999    998    /usr/lib/polkit-1/polkitd --no-debug                            
726    0      0      /sbin/rngd -f                                                   
727    0      0      /usr/lib/systemd/systemd-logind                                 
730    70     70     avahi-daemon: running [lin                                      
731    32     32     /sbin/rpcbind -w                                                
737    0      0      /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
738    0      0      /usr/libexec/udisks2/udisksd                                    
740    0      0      /usr/libexec/accounts-daemon                                    
741    0      0      /usr/sbin/abrtd -d -s                                           
744    0      0      /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
745    70     70     avahi-daemon: chroot helpe                                      
747    0      0      /usr/sbin/gssproxy -D                                           
749    997    994    /usr/bin/lsmd -d                                                
750    992    989    /usr/sbin/chronyd                                               
754    81     81     /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
786    0      0      /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
787    0      0      /usr/sbin/ModemManager                                          
788    172    172    /usr/libexec/rtkit-daemon                                       
789    0      0      /usr/sbin/NetworkManager --no-daemon                            
790    0      0      /usr/bin/VGAuthService -s                                       
791    0      0      /usr/bin/vmtoolsd                                               
793    0      0      /usr/libexec/bluetooth/bluetoothd                               
825    0      0      /bin/bash /usr/sbin/ksmtuned                                    
848    0      0      /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-ens33.pid -lf /var/lib/NetworkManager/dhclient-e03fbc28-3baa-4770-8aba-41f0a073b6da-ens33.lease -cf /var/lib/NetworkManager/dhclient-ens33.conf ens33
1057   0      0      /usr/bin/python2 -Es /usr/sbin/tuned -l -P                      
1058   0      0      /usr/sbin/sshd -D                                               
1060   0      0      /usr/sbin/cupsd -f                                              
1064   0      0      /usr/sbin/rsyslogd -n                                           
1070   0      0      /usr/sbin/libvirtd                                              
1082   0      0      /usr/sbin/atd -f                                                
1084   0      0                                                                      
1086   0      0      /usr/sbin/gdm                                                   
1285   0      0      /usr/libexec/postfix/master -w                                  
1295   89     89     pickup -l -t unix -u                                            
1296   89     89     qmgr -l -t unix -u                                              
1342   0      0      /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-VPVFrQ/database -seat seat0 -nolisten tcp vt1
1389   99     40     /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
1390   0      0      /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
1530   0      0      /usr/libexec/upowerd                                            
1590   0      0      /usr/libexec/boltd                                              
1592   0      0      /usr/libexec/packagekitd                                        
1606   0      0      /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -P /var/run/wpa_supplicant.pid
1694   996    993    /usr/libexec/colord                                             
1750   0      1000   gdm-session-worker [pam/gdm-password]                           
1761   1000   1000   /usr/bin/gnome-keyring-daemon --daemonize --login               
1766   42     42     ibus-daemon --xim --panel disable                               
1769   42     42     /usr/libexec/ibus-dconf                                         
1775   42     42     /usr/libexec/ibus-x11 --kill-daemon                             
1776   1000   1000   /usr/libexec/gnome-session-binary --session gnome-classic       
1791   1000   1000   dbus-launch --sh-syntax --exit-with-session                     
1792   1000   1000   /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
1819   1000   1000   /usr/libexec/imsettings-daemon                                  
1823   1000   1000   /usr/libexec/gvfsd                                              
1828   1000   1000   /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes    
1916   1000   1000   /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "env GNOME_SHELL_SESSION_MODE=classic gnome-session --session gnome-classic"
1934   1000   1000   /usr/libexec/at-spi-bus-launcher                                
1939   1000   1000   /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
1945   1000   1000   /usr/libexec/at-spi2-registryd --use-gnome-session              
1971   1000   1000   /usr/bin/gnome-shell                                            
1981   1000   1000   /usr/bin/pulseaudio --start --log-target=syslog                 
1998   0      0      [krfcommd]                                                      
1999   1000   1000   ibus-daemon --xim --panel disable                               
2003   1000   1000   /usr/libexec/ibus-dconf                                         
2008   1000   1000   /usr/libexec/ibus-x11 --kill-daemon                             
2011   1000   1000   /usr/libexec/ibus-portal                                        
2019   1000   1000   /usr/libexec/xdg-permission-store                               
2023   1000   1000   /usr/libexec/gnome-shell-calendar-server                        
2032   990    986    /usr/libexec/geoclue -t 5                                       
2033   1000   1000   /usr/libexec/evolution-source-registry                          
2048   1000   1000   /usr/libexec/goa-daemon                                         
2052   1000   1000   /usr/libexec/mission-control-5                                  
2054   1000   1000   /usr/libexec/gvfs-udisks2-volume-monitor                        
2067   1000   1000   /usr/libexec/gvfs-mtp-volume-monitor                            
2073   1000   1000   /usr/libexec/goa-identity-service                               
2085   1000   1000   /usr/libexec/gvfs-goa-volume-monitor                            
2105   1000   1000   /usr/libexec/gvfs-gphoto2-volume-monitor                        
2115   1000   1000   /usr/libexec/gvfs-afc-volume-monitor                            
2133   1000   1000   /usr/libexec/gsd-power                                          
2136   1000   1000   /usr/libexec/gsd-print-notifications                            
2140   1000   1000   /usr/libexec/gsd-rfkill                                         
2152   1000   1000   /usr/libexec/gsd-screensaver-proxy                              
2156   1000   1000   /usr/libexec/gsd-sharing                                        
2159   1000   1000   /usr/libexec/gsd-smartcard                                      
2164   1000   1000   /usr/libexec/gsd-xsettings                                      
2166   1000   1000   /usr/libexec/gsd-sound                                          
2167   1000   1000   /usr/libexec/gsd-wacom                                          
2176   1000   1000   /usr/libexec/gsd-account                                        
2178   1000   1000   /usr/libexec/gsd-clipboard                                      
2181   1000   1000   /usr/libexec/gsd-a11y-settings                                  
2184   1000   1000   /usr/libexec/gsd-datetime                                       
2190   1000   1000   /usr/libexec/gsd-color                                          
2192   1000   1000   /usr/libexec/evolution-calendar-factory                         
2194   1000   1000   /usr/libexec/gsd-keyboard                                       
2197   1000   1000   /usr/libexec/gsd-housekeeping                                   
2205   1000   1000   /usr/libexec/gsd-mouse                                          
2211   1000   1000   /usr/libexec/gsd-media-keys                                     
2241   1000   1000   /usr/libexec/gsd-printer                                        
2247   1000   1000   /usr/libexec/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2192x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2192/2
2260   1000   1000   nautilus-desktop --force                                        
2272   1000   1000   /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
2287   1000   1000   /usr/libexec/dconf-service                                      
2294   1000   1000   /usr/libexec/evolution-addressbook-factory                      
2303   1000   1000   /usr/bin/seapplet                                               
2308   1000   1000   /usr/libexec/ibus-engine-simple                                 
2313   1000   1000   /usr/bin/vmtoolsd -n vmusr                                      
2318   1000   1000   /usr/libexec/tracker-extract                                    
2322   1000   1000   /usr/libexec/tracker-miner-fs                                   
2323   1000   1000   /usr/libexec/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2294x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2294/2
2325   1000   1000   /usr/libexec/tracker-miner-apps                                 
2336   1000   1000   /usr/libexec/tracker-miner-user-guides                          
2349   1000   1000   /usr/libexec/tracker-store                                      
2354   1000   1000   abrt-applet                                                     
2363   1000   1000   /usr/bin/gnome-software --gapplication-service                  
2374   1000   1000   /usr/libexec/gsd-disk-utility-notify                            
2434   1000   1000   /usr/libexec/gvfsd-burn --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
2510   0      0      /usr/libexec/fwupd/fwupd                                        
2535   1000   1000   /usr/libexec/gnome-terminal-server                              
2591   1000   1000   /usr/libexec/bluetooth/obexd                                    
2621   1000   1000   gnome-pty-helper                                                
2622   1000   1000   bash                                                            
2779   1000   1000   /usr/libexec/gvfsd-metadata                                     
2854   0      0      ncat -lvp 12345 -4 -e /bin/bash                                 
2876   0      0      /bin/bash                                                       
2886   0      0      python -c import pty; pty.spawn("/bin/bash")                    
2887   0      0      /bin/bash                                                       
3196   0      0      vim /etc/rc.local                                               
3271   0      0      /usr/sbin/abrt-dbus -t133                                       
3279   89     89     cleanup -z -t unix -u                                           
3280   89     89     trivial-rewrite -n rewrite -t unix -u                           
3281   0      0      local -t unix                                                   
3299   0      0      sleep 60                                                        
3612   0      0      sudo insmod lime-3.10.0-1062.el7.x86_64.ko path=/Linux64.mem format=lime
3614   0      0      insmod lime-3.10.0-1062.el7.x86_64.ko path=/Linux64.mem format=lime
