Volatility 3 Framework 1.0.1

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0xb68cb350dab0	TCPv4	192.168.144.131	49907	192.168.144.129	1337	CLOSE_WAIT	1488	svchost.exe	2021-08-06 16:21:53.000000 
0xb68cb3578ec0	UDPv4	0.0.0.0	5355	*	0		1100	svchost.exe	2021-08-06 16:11:24.000000 
0xb68cb380eec0	UDPv4	0.0.0.0	0	*	0		4344	powershell.exe	2021-08-06 15:54:58.000000 
0xb68cb380eec0	UDPv6	::	0	*	0		4344	powershell.exe	2021-08-06 15:54:58.000000 
0xb68cb3832260	UDPv4	0.0.0.0	5355	*	0		1100	svchost.exe	2021-08-06 16:11:24.000000 
0xb68cb3832260	UDPv6	::	5355	*	0		1100	svchost.exe	2021-08-06 16:11:24.000000 
0xb68cb385e2e0	TCPv4	192.168.144.131	49905	192.168.144.129	1337	CLOSED	1488	svchost.exe	2021-08-06 16:19:53.000000 
0xe000001a9300	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1592	spoolsv.exe	2021-08-06 15:26:34.000000 
0xe000001a9300	TCPv6	::	49668	::	0	LISTENING	1592	spoolsv.exe	2021-08-06 15:26:34.000000 
0xf8024bdf2ec0	TCPv6	c0a8:9083::c8e0:70b2:8cb6:ffff	7001	::	0	LISTENING	4752	java.exe	2021-08-06 15:31:00.000000 
0xf8024be475c0	TCPv4	127.0.0.1	49686	127.0.0.1	49687	ESTABLISHED	4752	java.exe	2021-08-06 15:30:39.000000 
0xf8024bf34ec0	UDPv4	0.0.0.0	0	*	0		4344	powershell.exe	2021-08-06 15:54:58.000000 
