Volatility 3 Framework 2.5.2

Offset	Name	Size
0xad81861b2700	㔀਋唂楅钑䁪颐뽭�脶℀Ø㝭ꑍ몆Ｃሀഀø㢡唀ﮧ儀᤿	216
0xad81861b2890	�笂ܼŐѽ磭ꄆ駆ᒁԀȸٟ܏ýጕȟ୹½?膥ਞğ¿㼦픏Ը༿�	216
0xad81861b2a20	\Windows\SysWOW64\difxapi.dll	216
0xad81861b2bb0	\Windows\SysWOW64\msctf.dll	216
0xad81861b2d40	\ProtectedPrefix\LocalService	216
0xad81861b2ed0	\ProtectedPrefix\NetWorkService	216
0xad81861b31f0	\Windows\SysWOW64\comctl32.dll	216
0xad81861b3380	\Windows\SysWOW64\clbcatq.dll	216
0xad81861b36a0	\Windows\SysWOW64\nsi.dll	216
0xad81861b3830	\Windows\SysWOW64\advapi32.dll	216
0xad81861b39c0	\Windows\SysWOW64\bcryptprimitives.dll	216
0xad81861b3ce0	\Windows\SysWOW64\msvcrt.dll	216
0xad81861b60c0	\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe\HxOutlook.exe	216
0xad81861b6250	ꪭ寧쨀X堂☀㱪㨁X᠌䈀飜㠀8�餀ЁX粼㐀ȼ磚몪啖ᡞ븀Ü㢘저ᰶ䘁	216
0xad81861b6570	ၖ䄄밽销躑䴀\陹屝崀躛洀\塽渀ᨹ堅䨀桁馦X謅׸	216
0xad81861b6700	\Windows\System32\config\DEFAULT.LOG2	216
0xad81861b6890	\Windows\System32\en-US\csrss.exe.mui	216
0xad81861b6bb0	\Windows\System32\win32k.sys	216
0xad81861b6d40	픊塍瀀ౙ跞崀X饔籭�跧紀X᥸圐ꢌ₵(墍똀X壭Ო紁뗼관X	216
0xad81861b6ed0	㨢倢T	216
0xad81861b71f0	\Windows\System32\config\DEFAULT	216
0xad81861b7380	ł䖕ȌŁꃥ	216
0xad81861b7510	헩r岭䀀䄅鵐¸岽씀⛳촀\޹Ã峝꤀싡\壝ﴀ\ⓡÂ䅁䄅見ं숥ᴀ\媡	216
0xad81861b76a0	\$Directory	216
0xad81861b7830	氀̃줄涜脀舵䷡nϙ⫝	216
0xad81861b79c0	\Windows\System32\config\DEFAULT.LOG1	216
0xad81861b7b50	峽─啕镕Xȍ௻塉ᴀ\塭ⴀ\墑㴀\墵䴀Xᠰ�X塝倀X壽洀Ĝ啕Օr屽	216
0xad81861b7ce0	\Windows\System32\config\SOFTWARE	216
0xad81861b7e70	氀ʘ頑䴅¼᣽崁Xꁾꠠ뢂猹洀¼砥紁X렦夀輆贀¼麑墝᠀¸筽ભꂂ墠	216
0xad81861de0d0	\Windows\System32\win32kbase.sys	216
0xad81861de580		216
0xad81861de710	\$Directory	216
0xad81861de8a0	\CMApi	216
0xad81861debc0	\EFI\Microsoft\Boot\BCD.LOG	216
0xad81861deee0	\pagefile.sys	216
0xad81861df200	\Windows\bootstat.dat	216
0xad81861df390	\DumpStack.log.tmp	216
0xad81861df520	ࠣ	216
0xad81861df840	整d䌀䵉佟数慲楴杮祓瑳浥䌮敲瑡潩䍮慬獳慎敭	216
0xad81861df9d0	\$Directory	216
0xad81861dfb60	\Windows\System32\csrss.exe	216
0xad81861dfcf0	\Windows\System32	216
0xad81861dfe80	\swapfile.sys	216
0xad81861e01a0	楲杮s	216
0xad81861e0330	\Windows\System32\winsrv.dll	216
0xad81861e04c0	捯獥⁳瑓瑡獵卼卙䕔彍剐䍏卅当义但䵒呁佉籎敐歡潗歲湩卧瑥楓敺	216
0xad81861e0b00		216
0xad81861e0c90	\Windows\System32\locale.nls	216
0xad81861e1140	\Windows\System32	216
0xad81861e12d0	\Windows\System32\wlanapi.dll	216
0xad81861e15f0	乏佼桴牥牔湡晳牥潃湵t倀条䙥畡瑬s	216
0xad81861e1780	\Windows\System32\profapi.dll	216
0xad81861e1910	\Windows\System32\en-GB\user32.dll.mui	216
0xad81861e1aa0	\Windows\System32\en-GB\winsrv.dll.mui	216
0xad81861e1c30	\Windows\System32\drivers\dxgmms2.sys	216
0xad81861e4230	\SystemRoot\System32\Config\TxR\{53b39e3d-18c4-11ea-a811-000d3aa4692b}.TxR	216
0xad81861e4db0	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms	216
0xad81861e5370	\Windows\System32\config\TxR\{53b39e3d-18c4-11ea-a811-000d3aa4692b}.TxR.0.regtrans-ms	216
0xad81861e5650	\Windows\System32\config\TxR\{53b39e3d-18c4-11ea-a811-000d3aa4692b}.TxR.1.regtrans-ms	216
0xad81861e57c0	\Windows\System32\config\TxR\{53b39e3d-18c4-11ea-a811-000d3aa4692b}.TxR.2.regtrans-ms	216
0xad81861e5930	\Windows\System32\drivers\monitor.sys	216
0xad81861e61d0	\Windows\System32\config\TxR\{53b39e3d-18c4-11ea-a811-000d3aa4692b}.TxR.blf	216
0xad81861e6340	\$Directory	216
0xad81861e6790	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM	216
0xad81861e6a70	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM	216
0xad81861e6be0	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms	216
0xad81861e6d50	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf	216
0xad8186319700	\Windows\System32\combase.dll	216
0xad8186319890	\Windows\System32\imagehlp.dll	216
0xad818631a1f0	\Windows\System32\sechost.dll	216
0xad818631a9c0	\Windows\System32\ws2_32.dll	216
0xad81863383a0	㤸挶晡挵Ĵ挷效者Ĉ穥ล㈃晦⸲㐈㘳慡㠳㉦픣́⎀䇔考턣́ↀ䇐考Lճ眸橤特塜考	216
0xad8186338680	̀䲀줄콝ƾ㔈�㠵뵻㕝狁者̈㌲戴㼔䱓愃㈰ࡣⵡ晢㑡㌭͙ࢀ、፦ٌ㤸㐭㐵Ѣ㑦㌹�Ϗ䲀昂敡戈〭挲ⴴ㤸㼀	216
0xad81863387f0	\Windows\System32\drivers\ksthunk.sys	216
0xad8186339370	\Windows\System32\drivers\HdAudio.sys	216
0xad8186339d80	\Windows\System32\drivers\USBHUB3.SYS	216
0xad818633a4b0	\Windows\System32\drivers\usbccgp.sys	216
0xad818633a790	\Windows\System32\drivers\hidusb.sys	216
0xad818633aa70	\Windows\System32\drivers\hidclass.sys	216
0xad818633b5f0	\Windows\System32\drivers\vmusbmouse.sys	216
0xad818633cb80	\Windows\System32\drivers\hidparse.sys	216
0xad818633db50	\Windows\System32\drivers\mouhid.sys	216
0xad81863b60c0	\Windows\System32\bcrypt.dll	216
0xad81863b6250	\Windows\SysWOW64\win32u.dll	216
0xad81863b6570	\Windows\System32\KernelBase.dll	216
0xad81863b6890	\Windows\SysWOW64\bcrypt.dll	216
0xad81863b6a20	\Windows\SysWOW64\coml2.dll	216
0xad81863b6d40	\Windows\System32\crypt32.dll	216
0xad81863b71f0	\Windows\System32\Wldap32.dll	216
0xad81863b7220	牸蘻궁￿牸蘻궁￿	0
0xad81863b76a0	\Windows\System32\bcryptprimitives.dll	216
0xad81863b7830	\Windows\System32\comctl32.dll	216
0xad81863b7b50	\Windows\SysWOW64\rpcrt4.dll	216
0xad81865fea20	\Windows\System32\kernel32.dll	216
0xad81865ffb50	\Windows\System32\clbcatq.dll	216
0xad81867f2260	\Windows\System32\wininitext.dll	216
0xad81867f2580		216
0xad81867f2710	\CMApi	216
0xad81867f2a30	\Windows\System32\cdd.dll	216
0xad81867f2bc0	\Windows\System32	216
0xad81867f2ee0	\Windows\System32\csrss.exe	216
0xad81867f39d0	\Windows\System32\sxssrv.dll	216
0xad81867f3b60	\Windows\System32\umpdc.dll	216
0xad81867f3cf0	\Windows\System32	216
0xad81867f3e80	\Windows\System32\wininit.exe	216
0xad81867f44c0	\Endpoint	216
0xad81867f4970	\Windows\System32\winlogon.exe	216
0xad81867f4b00	\Windows\System32\userenv.dll	216
0xad81867f4c90	\Windows\System32\powrprof.dll	216
0xad81867f4e20	\Sessions\1\AppContainerNamedObjects	216
0xad81867f5140	\Windows\System32\sspicli.dll	216
0xad81867f5460	\Windows\System32\ndfapi.dll	216
0xad81867f5780	\Windows\System32\KBDUK.DLL	216
0xad81867f5910	ā	216
0xad81867f5aa0	\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\yoga.dll	216
0xad81867f5c30	\Windows\System32\en-US\KernelBase.dll.mui	216
0xad8186f930d0	\Windows\System32\en-GB\winnlsres.dll.mui	216
0xad8186f93580	\InitShutdown	216
0xad8186f93a30	\$Directory	216
0xad8186f93bc0	\$Directory	216
0xad8186f93ee0	빘␁騨夀n栳娀Ȯ框嬀᳞⨇㹜픅騫崀ƾⲉ၁偀橞ကὸⵙ橠	216
0xad8186f94200	\Windows\System32\en-US\combase.dll.mui	216
0xad8186f94390	\Windows\System32\sxs.dll	216
0xad8186f94840	\$Directory	216
0xad8186f949d0	\$Directory	216
0xad8186f94cf0	\Windows\System32\en-GB\user32.dll.mui	216
0xad8186f951a0	\Windows\System32\PeerDistCleaner.dll	216
0xad8186f954c0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package0512~31bf3856ad364e35~amd64~~10.0.19041.2006.cat	216
0xad8186f95970	\InitShutdown	216
0xad8186f95b00	\InitShutdown	216
0xad8186f95e20	\Windows\System32\mfsvr.dll	216
0xad8186f962d0	\Windows\System32\lsass.exe	216
0xad8186f96780	\Windows\System32	216
0xad8186f96910	\Windows\System32\cryptdll.dll	216
0xad8186fc80d0	\$Directory	216
0xad8186fc83f0	\Windows\System32\mswsock.dll	216
0xad8186fc8a30	\Windows\System32\en-GB\lsasrv.dll.mui	216
0xad8186fc8bc0	h樒ᥘ꜍樓	216
0xad8186fc8d50	\Windows\System32\dpapi.dll	216
0xad8186fc8ee0	ࣣ	216
0xad8186fc9200	\Windows\System32	216
0xad8186fc9520	\CMApi	216
0xad8186fc99d0	\Windows\System32\netprovfw.dll	216
0xad8186fc9b60	\Windows\System32\wldp.dll	216
0xad8186fca330	\Windows\System32\cryptbase.dll	216
0xad8186fca4c0	\Windows\System32\kerberos.dll	216
0xad8186fca650	\Windows\System32\msv1_0.dll	216
0xad8186fca7e0	\Windows\System32\NtlmShared.dll	216
0xad8186fca970	\Windows\debug\PASSWD.LOG	216
0xad8186fcab00	\Windows\System32\cryptsp.dll	216
0xad8186fcac90	\Windows\System32\negoexts.dll	216
0xad8186fcae20	\Windows\System32\KerbClientShared.dll	216
0xad8186fcb140	\Windows\System32\msprivs.dll	216
0xad8186fcb460	\Windows\System32\netutils.dll	216
0xad8186fcb5f0	\Windows\System32\TSpkg.dll	216
0xad8186fcb780	\Windows\System32\logoncli.dll	216
0xad8186fcb910	\Windows\System32\dnsapi.dll	216
0xad8186fcbaa0	\Windows\System32\netlogon.dll	216
0xad8186fcbc30	\Windows\System32\gmsaclient.dll	216
0xad8186fcbdc0	\Windows\System32\IPHLPAPI.DLL	216
0xad8186fd8270	\Windows\System32\cloudAP.dll	216
0xad8186fd8400	\Windows\System32\msvcp110_win.dll	216
0xad8186fd8590	\$Directory	216
0xad8186fd8720	\$Directory	216
0xad8186fd8a40	\Windows\System32\wkscli.dll	216
0xad8186fd8bd0	\Windows\System32\wdigest.dll	216
0xad8186fd8d60	\Windows\System32\MapConfiguration.dll	216
0xad8186fd8ef0	\Windows\System32\efslsaext.dll	216
0xad8186fd9080	\Windows\System32\schannel.dll	216
0xad8186fd9210	\Windows\System32\dpapisrv.dll	216
0xad8186fd93a0	\Windows\System32\rsaenh.dll	216
0xad8186fd9850	\Windows\System32\smartscreen.exe	216
0xad8186fd99e0	\Windows\ServiceState	216
0xad8186fd9b70	\ntsvcs	216
0xad8186fd9d00	\ntsvcs	216
0xad8186fd9e90	\Windows\System32\C_28591.NLS	216
0xad8186fda1b0	\ntsvcs	216
0xad8186fda340	\Windows\System32\sspisrv.dll	216
0xad8186fda660	\$Directory	216
0xad8186fda7f0	\Windows\System32\scesrv.dll	216
0xad8186fda980	\Windows\System32\aadcloudap.dll	216
0xad8186fdab10	\lsass	216
0xad8186fdaca0	\Dev\Query	216
0xad8186fdae30	\Windows\System32\MicrosoftAccountCloudAP.dll	216
0xad8186fdb150	\Windows\System32\pku2u.dll	216
0xad8186fdb2e0	\scerpc	216
0xad8186fdb600	\Windows\System32\ntmarta.dll	216
0xad8186fdb790	\Windows\System32\profext.dll	216
0xad8186fdbc40	\Windows\System32\FirewallAPI.dll	216
0xad8186fdbdd0	\Windows\System32\svchost.exe	216
0xad8186fdc0f0	\Windows\System32\kdcpw.dll	216
0xad8186fdc280	\Windows\System32\umpnpmgr.dll	216
0xad8186fdc410	\Windows\System32\scecli.dll	216
0xad8186fdc5a0	\Windows\System32\en-GB\services.exe.mui	216
0xad8186fdc730	\Windows\System32\authz.dll	216
0xad8186fdca50	\Windows\System32\umpo.dll	216
0xad8186fdcbe0	\scerpc	216
0xad8186fdd3b0	\scerpc	216
0xad8186fdd860	\Windows\System32\fwbase.dll	216
0xad8186fdd9f0	\Windows\System32\slc.dll	216
0xad8186fddd10	\Windows\System32\WUDFPlatform.dll	216
0xad8186fde350	\Windows\System32	216
0xad8186fde4e0	\Windows\System32\sppc.dll	216
0xad8186fde670	\Endpoint	216
0xad8186fde800	\Endpoint	216
0xad8186fde990	\Windows\System32\fontdrvhost.exe	216
0xad8186fdeb20	\Windows\System32	216
0xad8186fdecb0	\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523	216
0xad8186fdee40	\Windows\System32\fontdrvhost.exe	216
0xad8186fdf160	\Windows\System32\umpoext.dll	216
0xad8186fdf2f0	\Sessions\0\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523	216
0xad8186fdf480	\Windows\System32\dxgi.dll	216
0xad8186fdfac0	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT	216
0xad8186fdfde0	\Windows\System32\tdh.dll	216
0xad818762c0e0	\Windows\System32\windows.storage.dll	216
0xad818762c400	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1	216
0xad818762c720	\$Directory	216
0xad818762c8b0	\CMNotify	216
0xad818762ca40	\$Directory	216
0xad818762cbd0	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM.blf	216
0xad818762cd60	\Windows\Fonts\vgasys.fon	216
0xad818762d210	\Windows\System32	216
0xad818762d530	\$Directory	216
0xad818762d6c0	\Windows\System32\hid.dll	216
0xad818762d850	\CMNotify	216
0xad818762d9e0	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms	216
0xad818762db70	\Windows\System32\en-GB\svchost.exe.mui	216
0xad818762de90	\Windows\System32\SleepStudy\UserNotPresentSession.etl	216
0xad818762e1b0	\CMApi	216
0xad818762e340	\Device\HarddiskVolume3\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM	216
0xad818762e4d0	\Windows\System32\gpapi.dll	216
0xad818762e660	\Windows\System32\rpcss.dll	216
0xad818762e7f0	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2	216
0xad818762eb10	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms	216
0xad818762ee30	\CMNotify	216
0xad818762f470	\Endpoint	216
0xad818762fab0	\Endpoint	216
0xad818762fc40	\Device\HarddiskVolume3\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM	216
0xad818762fdd0	\Windows\System32	216
0xad81876300f0	\$Directory	216
0xad8187630410	\epmapper	216
