2021-04-30 17:52:19 UTC+0000|[LIVE RESPONSE]| (System time)|
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| KERNELBASE.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87520000
2083-12-20 13:37:54 UTC+0000|[PE HEADER (dll)]| SgrmEnclave.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd57430000
-|[PE DEBUG]| SgrmEnclave.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd57430000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| SgrmEnclave.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd57430000
2065-02-06 01:03:14 UTC+0000|[PE HEADER (dll)]| bcrypt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd872f0000
2065-02-06 01:03:14 UTC+0000|[PE DEBUG]| bcrypt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd872f0000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| bcrypt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd872f0000
1991-12-09 03:40:03 UTC+0000|[PE HEADER (dll)]| imagehlp.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87b00000
1991-12-09 03:40:03 UTC+0000|[PE DEBUG]| imagehlp.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87b00000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| imagehlp.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87b00000
2022-01-18 10:29:28 UTC+0000|[PE HEADER (dll)]| KERNEL32.DLL| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd88b10000
-|[PE DEBUG]| KERNEL32.DLL| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd88b10000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| KERNEL32.DLL| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd88b10000
1993-04-23 01:39:11 UTC+0000|[PE HEADER (dll)]| ucrtbase.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87060000
-|[PE DEBUG]| ucrtbase.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87060000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| ucrtbase.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87060000
2021-04-30 17:40:36 UTC+0000|[PROCESS]| RuntimeBroker.| PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-25 18:44:31 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-28 15:02:25 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES\PACKAGEDCOM| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2019-12-07 09:15:08 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-30 17:51:19 UTC+0000|[Handle (Key)]| MACHINE| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-30 12:39:43 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-28 15:05:02 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES\PACKAGEDCOM\CLASSINDEX| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-30 17:51:19 UTC+0000|[Handle (Key)]| MACHINE| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2019-12-07 09:15:14 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\OLE| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-25 17:57:17 UTC+0000|[Handle (Key)]| USER\S-1-5-21-3061953532-2461696977-1363062292-1001_CLASSES\LOCAL SETTINGS\SOFTWARE\MICROSOFT| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-25 17:57:58 UTC+0000|[Handle (Key)]| USER\S-1-5-21-3061953532-2461696977-1363062292-1001_CLASSES\LOCAL SETTINGS| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-30 01:20:14 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2021-04-30 01:20:14 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2019-12-07 09:15:10 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWSRUNTIME| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2020-11-19 02:53:37 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWSRUNTIME\ACTIVATABLECLASSID| RuntimeBroker. PID: 2388/PPID: 856/POffset: 0x7b87b300
2018-08-18 19:29:32 UTC+0000|[PE HEADER (dll)]| RuntimeBroker.exe| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ff64ace0000
2018-08-18 19:29:32 UTC+0000|[PE DEBUG]| RuntimeBroker.exe| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ff64ace0000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| RuntimeBroker.exe| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ff64ace0000
2052-11-24 01:54:30 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89810000
2052-11-24 01:54:30 UTC+0000|[PE DEBUG]| ntdll.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89810000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| ntdll.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89810000
2010-06-24 15:35:53 UTC+0000|[PE HEADER (dll)]| RPCRT4.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87d30000
2010-06-24 15:35:53 UTC+0000|[PE DEBUG]| RPCRT4.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87d30000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| RPCRT4.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87d30000
2000-05-19 15:25:03 UTC+0000|[PE HEADER (dll)]| msvcp_win.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87320000
-|[PE DEBUG]| msvcp_win.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87320000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| msvcp_win.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87320000
2077-01-01 02:27:58 UTC+0000|[PE HEADER (dll)]| combase.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88170000
2077-01-01 02:27:58 UTC+0000|[PE DEBUG]| combase.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88170000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| combase.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88170000
2101-03-04 07:16:24 UTC+0000|[PE HEADER (dll)]| RMCLIENT.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd84d90000
-|[PE DEBUG]| RMCLIENT.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd84d90000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| RMCLIENT.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd84d90000
2005-08-24 00:11:06 UTC+0000|[PE HEADER (dll)]| policymanager.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd807a0000
2005-08-24 00:11:06 UTC+0000|[PE DEBUG]| policymanager.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd807a0000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| policymanager.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd807a0000
2061-01-03 14:54:41 UTC+0000|[PE HEADER (dll)]| powrprof.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86dc0000
2061-01-03 14:54:41 UTC+0000|[PE DEBUG]| powrprof.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86dc0000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| powrprof.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86dc0000
2097-05-29 15:24:23 UTC+0000|[PE HEADER (dll)]| user32.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89320000
2097-05-29 15:24:23 UTC+0000|[PE DEBUG]| user32.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89320000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| user32.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89320000
2000-11-12 13:21:08 UTC+0000|[PE HEADER (dll)]| IMM32.DLL| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88540000
2000-11-12 13:21:08 UTC+0000|[PE DEBUG]| IMM32.DLL| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88540000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| IMM32.DLL| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88540000
2085-05-15 16:32:12 UTC+0000|[PE HEADER (dll)]| wintypes.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd82e30000
-|[PE DEBUG]| wintypes.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd82e30000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| wintypes.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd82e30000
1993-04-23 01:39:11 UTC+0000|[PE HEADER (dll)]| ucrtbase.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87060000
-|[PE DEBUG]| ucrtbase.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87060000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| ucrtbase.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87060000
2055-12-03 17:05:40 UTC+0000|[PE HEADER (dll)]| GDI32.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89670000
2055-12-03 17:05:40 UTC+0000|[PE DEBUG]| GDI32.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89670000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| GDI32.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd89670000
2097-10-30 06:42:21 UTC+0000|[PE HEADER (dll)]| kernel.appcore.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd84e90000
-|[PE DEBUG]| kernel.appcore.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd84e90000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| kernel.appcore.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd84e90000
2020-04-17 00:39:18 UTC+0000|[PE HEADER (dll)]| shcore.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88570000
2020-04-17 00:39:18 UTC+0000|[PE DEBUG]| shcore.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88570000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| shcore.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88570000
2022-01-18 10:29:28 UTC+0000|[PE HEADER (dll)]| KERNEL32.DLL| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88b10000
-|[PE DEBUG]| KERNEL32.DLL| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88b10000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| KERNEL32.DLL| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd88b10000
1995-02-01 11:59:59 UTC+0000|[PE HEADER (dll)]| KERNELBASE.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87520000
1995-02-01 11:59:59 UTC+0000|[PE DEBUG]| KERNELBASE.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87520000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| KERNELBASE.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd87520000
2102-08-26 08:08:07 UTC+0000|[PE HEADER (dll)]| gdi32full.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86f50000
2102-08-26 08:08:07 UTC+0000|[PE DEBUG]| gdi32full.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86f50000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| gdi32full.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86f50000
2017-05-04 19:43:50 UTC+0000|[PE HEADER (dll)]| UMPDC.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86da0000
2017-05-04 19:43:50 UTC+0000|[PE DEBUG]| UMPDC.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86da0000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| UMPDC.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd86da0000
2086-10-05 12:37:30 UTC+0000|[PE HEADER (dll)]| clbcatq.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd895c0000
-|[PE DEBUG]| clbcatq.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd895c0000
2021-04-30 17:40:36 UTC+0000|[DLL LOADTIME (dll)]| clbcatq.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd895c0000
2046-05-23 23:27:27 UTC+0000|[PE HEADER (dll)]| bcryptPrimitives.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd877f0000
2046-05-23 23:27:27 UTC+0000|[PE DEBUG]| bcryptPrimitives.dll| Process: RuntimeBroker./PID: 2388/PPID: 856/Process POffset: 0x7b87b300/DLL Base: 0x7ffd877f0000
